1,UJ,1,13/10/2020 06:02 PM,70
1,HGK,10,13/10/2020 06:02 PM,5
1,M,8,13/10/2020 06:02 PM,29
1,I,2,13/10/2020 06:02 PM,93
1,BSM,4,13/10/2020 06:02 PM,59
1,MC,7,13/10/2020 06:02 PM,81
2,K,11,11/02/2021 01:34 PM,71
2,VQN,10,11/02/2021 01:34 PM,16
2,TA,12,11/02/2021 01:34 PM,77
2,H,3,11/02/2021 01:34 PM,98
2,XL,10,11/02/2021 01:34 PM,22
2,UJ,6,11/02/2021 01:34 PM,54
2,ZO,10,11/02/2021 01:34 PM,28
2,NT,4,11/02/2021 01:34 PM,22
2,S,5,11/02/2021 01:34 PM,84
2,M,8,11/02/2021 01:34 PM,74
2,XH,3,11/02/2021 01:34 PM,66
2,YOJ,2,11/02/2021 01:34 PM,52
2,NT,7,11/02/2021 01:34 PM,54
3,B,14,23/01/2021 02:20 PM,11
3,D,15,23/01/2021 02:20 PM,3
3,XH,6,23/01/2021 02:20 PM,22
3,XL,7,23/01/2021 02:20 PM,47
3,YOJ,5,23/01/2021 02:20 PM,99
3,H,13,23/01/2021 02:20 PM,50
3,I,3,23/01/2021 02:20 PM,45
3,VQN,10,23/01/2021 02:20 PM,50
3,BSM,11,23/01/2021 02:20 PM,24
3,M,8,23/01/2021 02:20 PM,40
3,M,3,23/01/2021 02:20 PM,12
3,PBH,5,23/01/2021 02:20 PM,67
3,VQN,14,23/01/2021 02:20 PM,84
3,LN,7,23/01/2021 02:20 PM,35
4,P,5,29/10/2022 04:58 AM,96
4,K,1,29/10/2022 04:58 AM,3
4,PBH,14,29/10/2022 04:58 AM,53
4,UJ,7,29/10/2022 04:58 AM,88
4,W,5,29/10/2022 04:58 AM,31
4,HGK,1,29/10/2022 04:58 AM,56
4,EQS,5,29/10/2022 04:58 AM,12
4,REU,7,29/10/2022 04:58 AM,47
4,UJ,8,29/10/2022 04:58 AM,52
4,H,3,29/10/2022 04:58 AM,80
4,EQS,10,29/10/2022 04:58 AM,65
4,JN,1,29/10/2022 04:58 AM,29
4,ZO,13,29/10/2022 04:58 AM,12
4,S,9,29/10/2022 04:58 AM,57
5,P,11,07/06/2022 11:26 AM,31
5,HGK,6,07/06/2022 11:26 AM,90
5,W,3,07/06/2022 11:26 AM,68
5,M,6,07/06/2022 11:26 AM,54
5,VQN,12,07/06/2022 11:26 AM,71
5,D,7,07/06/2022 11:26 AM,59
5,D,3,07/06/2022 11:26 AM,72
5,F,14,07/06/2022 11:26 AM,40
6,EQS,11,25/09/2021 09:48 PM,79
6,M,11,25/09/2021 09:48 PM,90
6,H,11,25/09/2021 09:48 PM,58
6,JN,5,25/09/2021 09:48 PM,17
6,NT,9,25/09/2021 09:48 PM,92
6,ZO,7,25/09/2021 09:48 PM,58
6,DK,12,25/09/2021 09:48 PM,10
6,PBH,13,25/09/2021 09:48 PM,89
6,K,8,25/09/2021 09:48 PM,51
6,XH,14,25/09/2021 09:48 PM,27
6,UJ,4,25/09/2021 09:48 PM,77
6,MC,5,25/09/2021 09:48 PM,71
6,F,2,25/09/2021 09:48 PM,39
7,M,1,02/09/2020 12:46 PM,50
7,R,3,02/09/2020 12:46 PM,65
7,MC,9,02/09/2020 12:46 PM,67
7,DK,6,02/09/2020 12:46 PM,92
7,MC,8,02/09/2020 12:46 PM,5
7,REU,8,02/09/2020 12:46 PM,44
7,B,11,02/09/2020 12:46 PM,18
7,F,14,02/09/2020 12:46 PM,62
